2023-07-04 23:07:188 INFO  ManageBrowser :34 - launching chrome browser
2023-07-04 23:07:41 INFO  ManageBrowser :34 - launching chrome browser
2023-07-05 22:07:442 INFO  ManageBrowser :34 - launching chrome browser
2023-07-05 22:07:28 INFO  ManageBrowser :34 - launching chrome browser
2023-07-05 22:07:217 INFO  ManageBrowser :34 - launching chrome browser
2023-07-05 22:07:833 INFO  ManageBrowser :34 - launching chrome browser
2023-07-05 22:07:979 INFO  ManageBrowser :34 - launching chrome browser
2023-07-05 22:07:319 INFO  ManageBrowser :34 - launching chrome browser
2023-07-05 22:07:335 INFO  ManageBrowser :34 - launching chrome browser
2023-07-05 22:07:685 INFO  ManageBrowser :34 - launching chrome browser
2023-07-05 22:07:659 INFO  ManageBrowser :34 - launching chrome browser
2023-07-05 22:07:360 INFO  ManageBrowser :34 - launching chrome browser
2023-07-05 22:07:716 INFO  ManageBrowser :34 - launching chrome browser
2023-07-05 23:07:100 INFO  ManageBrowser :34 - launching chrome browser
2023-07-05 23:07:320 INFO  ComputerPage :245 - get item text[[ChromeDriver: chrome on WINDOWS (fb6f63a189c42e10a1f25763ccf7918d)] -> xpath: //div[@class='product-name']/h1]
2023-07-05 23:07:365 INFO  ComputerPage :253 - item added msg [[ChromeDriver: chrome on WINDOWS (fb6f63a189c42e10a1f25763ccf7918d)] -> id: product_attribute_1]
2023-07-05 23:07:463 INFO  ComputerPage :258 - item added msg [[ChromeDriver: chrome on WINDOWS (fb6f63a189c42e10a1f25763ccf7918d)] -> id: product_attribute_2]
2023-07-05 23:07:348 INFO  ManageBrowser :34 - launching chrome browser
2023-07-05 23:07:386 INFO  ManageBrowser :34 - launching chrome browser
2023-07-05 23:07:327 INFO  ManageBrowser :34 - launching chrome browser
2023-07-05 23:07:560 INFO  ComputerPage :245 - get item text[[ChromeDriver: chrome on WINDOWS (927ea2c7b7eae737a8f48d740472da2f)] -> xpath: //div[@class='product-name']/h1]
2023-07-05 23:07:604 INFO  ComputerPage :253 - item added msg [[ChromeDriver: chrome on WINDOWS (927ea2c7b7eae737a8f48d740472da2f)] -> id: product_attribute_1]
2023-07-05 23:07:695 INFO  ComputerPage :258 - item added msg [[ChromeDriver: chrome on WINDOWS (927ea2c7b7eae737a8f48d740472da2f)] -> css selector: select#product_attribute_2]
2023-07-05 23:07:141 INFO  ManageBrowser :34 - launching chrome browser
2023-07-05 23:07:733 INFO  ComputerPage :245 - get item text[[ChromeDriver: chrome on WINDOWS (f6648f8fa9251fcd54929320a0010015)] -> xpath: //div[@class='product-name']/h1]
2023-07-05 23:07:786 INFO  ComputerPage :253 - item added msg [[ChromeDriver: chrome on WINDOWS (f6648f8fa9251fcd54929320a0010015)] -> id: product_attribute_1]
2023-07-05 23:07:876 INFO  ComputerPage :258 - item added msg [[ChromeDriver: chrome on WINDOWS (f6648f8fa9251fcd54929320a0010015)] -> css selector: dd>select#product_attribute_2]
2023-07-05 23:07:797 INFO  ManageBrowser :34 - launching chrome browser
2023-07-05 23:07:779 INFO  ComputerPage :245 - get item text[[ChromeDriver: chrome on WINDOWS (4ddfcde74759fce2419cfdc1cb6ff112)] -> xpath: //div[@class='product-name']/h1]
2023-07-05 23:07:820 INFO  ComputerPage :253 - item added msg [[ChromeDriver: chrome on WINDOWS (4ddfcde74759fce2419cfdc1cb6ff112)] -> id: product_attribute_1]
2023-07-05 23:07:912 INFO  ComputerPage :258 - item added msg [[ChromeDriver: chrome on WINDOWS (4ddfcde74759fce2419cfdc1cb6ff112)] -> css selector: dd>select#product_attribute_2]
2023-07-05 23:07:169 INFO  ManageBrowser :34 - launching chrome browser
2023-07-05 23:07:640 INFO  ComputerPage :245 - get item text[[ChromeDriver: chrome on WINDOWS (46cf9d8880a19a777750e768a5b82452)] -> xpath: //div[@class='product-name']/h1]
2023-07-05 23:07:697 INFO  ComputerPage :253 - item added msg [[ChromeDriver: chrome on WINDOWS (46cf9d8880a19a777750e768a5b82452)] -> id: product_attribute_1]
2023-07-05 23:07:813 INFO  ComputerPage :258 - item added msg [[ChromeDriver: chrome on WINDOWS (46cf9d8880a19a777750e768a5b82452)] -> css selector: #product_attribute_2>option]
2023-07-05 23:07:552 INFO  ManageBrowser :34 - launching chrome browser
2023-07-05 23:07:335 INFO  ComputerPage :247 - get item text[[ChromeDriver: chrome on WINDOWS (7421fa5695418eac5b0626233b22e0ee)] -> xpath: //div[@class='product-name']/h1]
2023-07-05 23:07:381 INFO  ComputerPage :255 - item added msg [[ChromeDriver: chrome on WINDOWS (7421fa5695418eac5b0626233b22e0ee)] -> id: product_attribute_1]
2023-07-05 23:07:467 INFO  ComputerPage :260 - item added msg [[ChromeDriver: chrome on WINDOWS (7421fa5695418eac5b0626233b22e0ee)] -> css selector: #product_attribute_2]
