2023-07-03 16:07:421 INFO  ManageBrowser :34 - launching chrome browser
2023-07-03 16:07:731 INFO  HomePage :55 - Job Title:<jobTilte>
2023-07-03 16:07:837 INFO  HomePage :60 - Location[[ChromeDriver: chrome on WINDOWS (c85c7941eea949f4e115e7af5cd7cb4f)] -> id: location]
2023-07-03 16:07:932 INFO  HomePage :65 - Distance DropDown Method[[ChromeDriver: chrome on WINDOWS (c85c7941eea949f4e115e7af5cd7cb4f)] -> id: distance]
2023-07-03 16:07:50 INFO  HomePage :70 - More Search option Link Method[[ChromeDriver: chrome on WINDOWS (c85c7941eea949f4e115e7af5cd7cb4f)] -> css selector: div.hp-search-more>#toggle-hp-search]
2023-07-03 16:07:100 INFO  HomePage :75 - salary min30000
2023-07-03 16:07:198 INFO  HomePage :80 - salary Max500000
2023-07-03 16:07:284 INFO  HomePage :86 - salary type dropdown methodPer annum
2023-07-03 16:07:365 INFO  HomePage :91 - Select Job TypePermanent
2023-07-03 16:07:449 INFO  HomePage :96 - click on findJobButton[[ChromeDriver: chrome on WINDOWS (c85c7941eea949f4e115e7af5cd7cb4f)] -> css selector: input#hp-search-btn]
2023-07-03 16:07:594 INFO  ManageBrowser :34 - launching chrome browser
2023-07-03 16:07:241 INFO  HomePage :55 - Job Title:<jobTilte>
2023-07-03 16:07:360 INFO  HomePage :60 - Location[[ChromeDriver: chrome on WINDOWS (fda66977104e25e483156b14b22db669)] -> id: location]
2023-07-03 16:07:454 INFO  HomePage :65 - Distance DropDown Method[[ChromeDriver: chrome on WINDOWS (fda66977104e25e483156b14b22db669)] -> id: distance]
2023-07-03 16:07:571 INFO  HomePage :70 - More Search option Link Method[[ChromeDriver: chrome on WINDOWS (fda66977104e25e483156b14b22db669)] -> css selector: div.hp-search-more>#toggle-hp-search]
2023-07-03 16:07:626 INFO  HomePage :75 - salary min30000
2023-07-03 16:07:744 INFO  HomePage :80 - salary Max500000
2023-07-03 16:07:832 INFO  HomePage :86 - salary type dropdown methodPer annum
2023-07-03 16:07:905 INFO  HomePage :91 - Select Job TypePermanent
2023-07-03 16:07:998 INFO  HomePage :96 - click on findJobButton[[ChromeDriver: chrome on WINDOWS (fda66977104e25e483156b14b22db669)] -> css selector: input#hp-search-btn]
2023-07-03 16:07:535 INFO  ManageBrowser :34 - launching chrome browser
2023-07-03 16:07:575 INFO  HomePage :55 - Job Title:Tester
2023-07-03 16:07:685 INFO  HomePage :60 - Location[[ChromeDriver: chrome on WINDOWS (34e9e2e84aff2309e7e934b39011c595)] -> id: location]
2023-07-03 16:07:782 INFO  HomePage :65 - Distance DropDown Method[[ChromeDriver: chrome on WINDOWS (34e9e2e84aff2309e7e934b39011c595)] -> id: distance]
2023-07-03 16:07:913 INFO  HomePage :70 - More Search option Link Method[[ChromeDriver: chrome on WINDOWS (34e9e2e84aff2309e7e934b39011c595)] -> css selector: div.hp-search-more>#toggle-hp-search]
2023-07-03 16:07:967 INFO  HomePage :75 - salary min30000
2023-07-03 16:07:70 INFO  HomePage :80 - salary Max500000
2023-07-03 16:07:150 INFO  HomePage :86 - salary type dropdown methodPer annum
2023-07-03 16:07:227 INFO  HomePage :91 - Select Job TypePermanent
2023-07-03 16:07:315 INFO  HomePage :96 - click on findJobButton[[ChromeDriver: chrome on WINDOWS (34e9e2e84aff2309e7e934b39011c595)] -> css selector: input#hp-search-btn]
2023-07-03 16:07:995 INFO  ResultPage :24 - Result Text[[ChromeDriver: chrome on WINDOWS (34e9e2e84aff2309e7e934b39011c595)] -> css selector: h1.search-header__title]
2023-07-03 16:07:453 INFO  ManageBrowser :34 - launching chrome browser
2023-07-03 16:07:54 INFO  HomePage :55 - Job Title:Tester
2023-07-03 16:07:161 INFO  HomePage :60 - Location[[ChromeDriver: chrome on WINDOWS (4b19b4eb9aff11d88da722933867b405)] -> id: location]
2023-07-03 16:07:258 INFO  HomePage :65 - Distance DropDown Method[[ChromeDriver: chrome on WINDOWS (4b19b4eb9aff11d88da722933867b405)] -> id: distance]
2023-07-03 16:07:365 INFO  HomePage :70 - More Search option Link Method[[ChromeDriver: chrome on WINDOWS (4b19b4eb9aff11d88da722933867b405)] -> css selector: div.hp-search-more>#toggle-hp-search]
2023-07-03 16:07:418 INFO  HomePage :75 - salary min30000
2023-07-03 16:07:522 INFO  HomePage :80 - salary Max500000
2023-07-03 16:07:595 INFO  HomePage :86 - salary type dropdown methodPer annum
2023-07-03 16:07:675 INFO  HomePage :91 - Select Job TypePermanent
2023-07-03 16:07:763 INFO  HomePage :96 - click on findJobButton[[ChromeDriver: chrome on WINDOWS (4b19b4eb9aff11d88da722933867b405)] -> css selector: input#hp-search-btn]
2023-07-03 16:07:257 INFO  ResultPage :24 - Result Text[[ChromeDriver: chrome on WINDOWS (4b19b4eb9aff11d88da722933867b405)] -> css selector: h1.search-header__title]
2023-07-03 16:07:953 INFO  ManageBrowser :34 - launching chrome browser
2023-07-03 16:07:332 INFO  HomePage :55 - Job Title:Software Test Engineer
2023-07-03 16:07:493 INFO  HomePage :60 - Location[[ChromeDriver: chrome on WINDOWS (af25c938e5dfae1225cf1f2f860a6782)] -> id: location]
2023-07-03 16:07:605 INFO  HomePage :65 - Distance DropDown Method[[ChromeDriver: chrome on WINDOWS (af25c938e5dfae1225cf1f2f860a6782)] -> id: distance]
2023-07-03 16:07:697 INFO  HomePage :70 - More Search option Link Method[[ChromeDriver: chrome on WINDOWS (af25c938e5dfae1225cf1f2f860a6782)] -> css selector: div.hp-search-more>#toggle-hp-search]
2023-07-03 16:07:750 INFO  HomePage :75 - salary min30000
2023-07-03 16:07:858 INFO  HomePage :80 - salary Max50000
2023-07-03 16:07:935 INFO  HomePage :86 - salary type dropdown methodPer annum
2023-07-03 16:07:11 INFO  HomePage :91 - Select Job TypePermanent
2023-07-03 16:07:94 INFO  HomePage :96 - click on findJobButton[[ChromeDriver: chrome on WINDOWS (af25c938e5dfae1225cf1f2f860a6782)] -> css selector: input#hp-search-btn]
2023-07-03 16:07:95 INFO  ResultPage :24 - Result Text[[ChromeDriver: chrome on WINDOWS (af25c938e5dfae1225cf1f2f860a6782)] -> css selector: h1.search-header__title]
2023-07-03 16:07:794 INFO  ManageBrowser :34 - launching chrome browser
2023-07-03 16:07:62 INFO  HomePage :55 - Job Title:Test Engineer
2023-07-03 16:07:203 INFO  HomePage :60 - Location[[ChromeDriver: chrome on WINDOWS (69cd04edc18f31f587817d198e6ba9ae)] -> id: location]
