2023-07-03 10:07:11 INFO  ManageBrowser :32 - launching chrome browser
2023-07-03 10:07:648 INFO  ManageBrowser :32 - launching chrome browser
2023-07-03 10:07:04 INFO  ManageBrowser :32 - launching chrome browser
2023-07-03 10:07:204 INFO  ManageBrowser :32 - launching chrome browser
2023-07-03 10:07:10 INFO  ManageBrowser :32 - launching chrome browser
2023-07-03 10:07:512 INFO  ManageBrowser :32 - launching chrome browser
2023-07-03 10:07:744 INFO  ManageBrowser :32 - launching chrome browser
2023-07-03 11:07:741 INFO  ManageBrowser :32 - launching chrome browser
2023-07-03 11:07:233 INFO  StartPage :29 - click on cookies[[ChromeDriver: chrome on WINDOWS (0e8ecf4bb2a3a616f0ad98aaf589ef3c)] -> xpath: //div[@class='js-confirmation-buttons govuk-button-group']/button[1]]
2023-07-03 11:07:308 INFO  StartPage :34 - Click on Start Button[[ChromeDriver: chrome on WINDOWS (0e8ecf4bb2a3a616f0ad98aaf589ef3c)] -> css selector: .gem-c-button.govuk-button.govuk-button--start]
2023-07-03 11:07:599 INFO  SelectNationalityPage :31 - nationality Australia
2023-07-03 11:07:706 INFO  SelectNationalityPage :36 - click on continue button[[ChromeDriver: chrome on WINDOWS (0e8ecf4bb2a3a616f0ad98aaf589ef3c)] -> css selector: #current-question>button]
2023-07-03 11:07:01 INFO  ReasonForTravelPage :52 - Click on Reason for visit[[ChromeDriver: chrome on WINDOWS (0e8ecf4bb2a3a616f0ad98aaf589ef3c)] -> css selector: input#response-0]
2023-07-03 11:07:45 INFO  ReasonForTravelPage :70 - Click on Continue button[[ChromeDriver: chrome on WINDOWS (0e8ecf4bb2a3a616f0ad98aaf589ef3c)] -> css selector: button.gem-c-button--bottom-margin]
2023-07-03 11:07:231 INFO  ResultPage :43 - confirm result messageYou will not need a visa to come to the UK
2023-07-03 11:07:309 INFO  ResultPage :31 - Actual Result MessageProxy element for: DefaultElementLocator 'By.cssSelector: #current-question>span'
2023-07-03 11:07:159 INFO  ManageBrowser :32 - launching chrome browser
2023-07-03 11:07:658 INFO  StartPage :29 - click on cookies[[ChromeDriver: chrome on WINDOWS (83ce4d1e27a0a95753500dcc4b625a46)] -> xpath: //div[@class='js-confirmation-buttons govuk-button-group']/button[1]]
